Year,Month,Day,Hour,Minute,Temperature,Pressure,Humidity,PM2_5,PM10,CO2,CriticalPollutantInstantAQI,InstantAQI,Door,Window,Occupancy
2023,5,1,11.4714285714286,28.2857142857143,23.2875,747.271428571429,17.2892857142857,6.70714285714286,7.31071428571429,460.786892857143,4,1.58571428571429,1,0,0
2023,5,2,11.5125448028674,28.3870967741935,22.6250896057348,753.365591397849,19.3691756272401,29.5770609318996,46.4516129032258,611.494623655914,4.03942652329749,2.90322580645161,0.817204301075269,0.193548387096774,0.326164874551971
2023,5,3,11.5125448028674,28.3870967741935,23.105376344086,758.84229390681,19.7885304659498,8.07885304659498,9.7168458781362,749.83623655914,4,1.91397849462366,0.702508960573477,0,0.125448028673835
2023,5,4,11.5125448028674,28.3870967741935,23.389605734767,758.792114695341,17.9426523297491,16.7992831541219,27.989247311828,631.853584229391,4,2.06093189964158,0.659498207885305,0.347670250896057,0.136200716845878
2023,5,5,11.5125448028674,28.3870967741935,24.2971326164875,755.41935483871,17.6881720430108,22.1397849462366,26.6379928315412,596.846666666667,4,3.20071684587814,0.526881720430108,0.584229390681004,0.0788530465949821
2023,5,8,11.5125448028674,28.3870967741935,26.6232974910395,748.132616487455,20.1648745519713,46.7921146953405,54.3655913978495,544.54835125448,4,5.49820788530466,1,0,0
2023,5,9,11.5125448028674,28.3870967741935,27.0275985663083,748.648745519713,19.9390681003584,48.9856630824373,56.6881720430108,484.625017921147,4,5.95698924731183,1,0,0
2023,5,10,11.5125448028674,28.3870967741935,24.6752688172043,754.659498207885,17.2795698924731,24.4193548387097,28.4121863799283,481.665304659498,4,3.44802867383513,0.946236559139785,0.584229390681004,0.0860215053763441
2023,5,11,11.5125448028674,28.3870967741935,23.8333333333334,748.207885304659,17.3584229390681,25.1899641577061,30.2007168458781,497.740537634409,4,3.33333333333333,1,0.397849462365591,0.336917562724014
2023,5,12,11.5125448028674,28.3870967741935,23.8580645161291,747.713261648746,21.7777777777778,26.6666666666667,31.6308243727599,511.581792114695,4,3.74910394265233,0.982078853046595,0,0.017921146953405
2023,5,15,11.5125448028674,28.3870967741935,22.6229390681004,744.512544802867,16.010752688172,15.1290322580645,17.8064516129032,458.594910394265,4,2.54121863799283,0.806451612903226,0.541218637992832,0.21505376344086
2023,5,16,11.5125448028674,28.3870967741935,22.1365591397849,744.63082437276,21.0537634408602,32.3046594982079,38.3189964157706,487.725734767025,4,4.01075268817204,0.870967741935484,1,0.383512544802867
